Make,Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH,Price (in USD)
Audi,RS 7 Sportback,2022,4,591,590.0,3.5,114000
Porsche,Cayman GT4,2022,4,414,309.0,4.2,102550
Lamborghini,Aventador,2022,6.5,770,531.0,2.8,393695
Lamborghini,Aventador S,2022,6.5,729,507.0,2.9,460247
Audi,RS 6 Avant,2022,4,591,590.0,3.1,110045
Mercedes-Benz,AMG C 63 S,2021,4,503,516.0,3.7,77400
Nissan,370Z Nismo,2020,3.7,350,276.0,5.0,46815
Audi,TT RS,2021,2.5,394,354.0,3.6,67895
Chevrolet,Corvette Z06,2023,5.5,625,650.0,2.6,85000
Lamborghini,Urus,2022,4,641,626.0,3.2,218009
Mercedes-Benz,AMG GT 63 S,2021,4,630,664.0,3.1,162900
Ferrari,Portofino M,2022,3.9,612,560.0,3.5,245000
Bugatti,Chiron,2021,8,1479,1180.0,2.5,3000000
Porsche,Cayman GT4,2022,4,414,309.0,4.2,100200
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443.0,3.8,74750
Bentley,Continental GT,2021,6,626,664.0,3.3,218400
BMW,M5,2021,4.4,600,553.0,3.2,103500
Dodge,Challenger Hellcat,2021,6.2,717,656.0,3.5,70595
Ford,GT,2022,3.5,647,550.0,3.0,500000
McLaren,570S,2021,3.8,562,443.0,3.1,203500
Mercedes-Benz,SLS AMG,2015,6.2,583,479.0,3.6,221580
Nissan,370Z Nismo,2020,3.7,350,276.0,4.7,47190
Porsche,Boxster,2021,2,300,280.0,4.9,62000
Porsche,718 Cayman,2022,2,300,280.0,4.9,61500
Lamborghini,Aventador,2021,6.5,759,531.0,2.9,393695
Ferrari,Roma,2021,3.9,612,561.0,3.3,222630
Audi,RS 5,2022,2.9,444,442.0,3.5,75400
McLaren,570S,2020,3.8,562,443.0,3.1,208000
BMW,M2,2022,3,405,406.0,4.2,58900
Mercedes-Benz,SL,2022,3,429,384.0,4.9,96250
Chevrolet,Camaro,2021,6.2,455,455.0,4.0,25000
Porsche,Panamera,2022,2.9,325,331.0,5.2,88550
Audi,RS 6,2022,4,591,590.0,3.5,109000
Porsche,Taycan 4S,2021,Electric (93 kWh),429,472.0,3.8,103800
Audi,RS 7,2022,4,591,590.0,3.5,117000
BMW,M4,2021,3,473,406.0,4.0,72800
Mercedes-Benz,SLS AMG,2015,6.2,622,468.0,3.5,228000
Nissan,370Z Nismo,2021,3.7,350,276.0,5.0,48000
Aston Martin,DBS Superleggera,2021,5.2,715,664.0,3.2,307820
Lexus,LC 500,2021,5,471,398.0,4.4,93000
Bentley,Continental GT,2021,4,626,664.0,3.3,202500
Tesla,Model S Plaid,2022,Electric (100 kWh),1020,1050.0,1.98,131190
Rolls-Royce,Dawn,2021,6.6,563,605.0,4.3,346300
Bugatti,Chiron Pur Sport,2021,8,1500,1180.0,2.3,3599000
McLaren,Senna,2019,4,789,590.0,2.7,1050000
Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid (4.0),690,641.0,3.0,186350
Aston Martin,DB11,2021,4,503,498.0,3.7,205600
Bentley,Continental GT,2021,6,626,664.0,3.6,201000
Bugatti,Chiron,2021,8,1500,1180.0,2.5,3000000
Chevrolet,Camaro ZL1,2022,6.2,650,650.0,3.5,67000
Dodge,Challenger Hellcat,2021,6.2,717,656.0,3.5,64000
Ferrari,812 Superfast,2021,6.5,789,530.0,2.8,340000
Lamborghini,Aventador SVJ,2021,6.5,770,531.0,2.8,517770
Mercedes-AMG,GT Black Series,2021,4,720,590.0,3.1,325000
Nissan,400Z,2023,3,400,350.0,4.0,40000
Porsche,Cayman GT4,2021,4,414,309.0,4.2,101000
Rimac,Nevera,2021,Electric,1914,1696.0,1.9,2400000
Toyota,Supra,2021,3,382,368.0,3.9,43000
BMW,M2,2022,3,405,406.0,4.1,58900
Nissan,370Z Nismo,2021,3.7,350,276.0,4.8,45000
Dodge,Charger Hellcat,2021,6.2,707,650.0,3.6,69995
Aston Martin,DBS Superleggera,2021,5.2,715,663.0,3.2,305000
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443.0,3.8,75000
Audi,TT RS,2021,2.5,394,354.0,3.6,68000
Bentley,Continental GT,2021,6,626,664.0,3.6,203825
Chevrolet,Corvette Stingray,2021,6.2,495,470.0,2.9,58900
Dodge,Challenger SRT Hellcat,2021,6.2,717,656.0,3.5,63000
Ford,Mustang GT,2022,5,460,420.0,4.0,45000
Ferrari,Roma,2022,3.9,612,560.0,3.3,222630
McLaren,570S,2021,3.8,562,443.0,2.7,204995
BMW,M4,2022,3,473,406.0,4.1,71800
Mercedes-Benz,SLS AMG,2021,6.2,622,468.0,3.5,243600
Nissan,370Z Nismo,2021,3.7,350,276.0,5.0,47190
Audi,RS6,2022,4,591,590.0,3.5,113000
Mercedes-Benz,GT 63,2021,4,577,590.0,3.3,161200
Aston Martin,DBS Superleggera,2021,5.2,715,663.0,3.2,310000
Pagani,Huayra,2021,6,764,737.0,3.0,2600000
McLaren,Senna,2021,4,789,590.0,2.7,1000000
Porsche,918 Spyder,2015,4.6,887,944.0,2.2,1800000
Lamborghini,Aventador SVJ,2020,6.5,759,531.0,2.8,517000
Audi,RS 6 Avant,2021,4,591,590.0,3.5,110000
Bentley,Continental GT Speed,2022,6,650,664.0,3.5,300000
Chevrolet,Camaro ZL1,2021,6.2,650,650.0,3.5,68000
Mercedes-AMG,GT Black Series,2021,4,720,590.0,3.1,330000
Aston Martin,DB11,2021,4,503,513.0,3.9,205000
Bentley,Continental GT,2022,4,542,568.0,3.9,229000
Lotus,Evora GT,2021,3.5,416,317.0,3.8,100000
Maserati,GranTurismo,2021,4.7,454,384.0,4.7,135000
Porsche,Boxster,2022,2,300,280.0,4.9,63000
Alfa Romeo,4C,2020,1.8,237,258.0,4.2,67150
Chevrolet,Camaro,2022,6.2,455,455.0,4.0,62195
Dodge,Challenger,2022,3.6,305,268.0,6.4,28000
Mercedes-Benz,AMG C 63,2021,4,469,479.0,3.8,69900
Nissan,370Z,2021,3.7,350,276.0,5.3,30090
Porsche,Cayman,2022,2,300,280.0,4.9,68000
BMW,i8,2022,1.5,369,184.0,4.2,147500
Lamborghini,Aventador S,2021,6.5,729,507.0,2.9,417650
Audi,RS7,2022,4,591,590.0,3.5,115000
McLaren,GT,2022,4,620,465.0,3.1,208000
Mercedes-Benz,SLS AMG,2021,4,730,590.0,2.9,250000
Nissan,370Z Nismo,2021,3.7,350,276.0,5.0,46100
Porsche,Panamera Turbo S,2022,4,630,604.0,3.1,180000
Ferrari,Portofino,2022,3.9,591,561.0,3.4,250000
Audi,TT RS,2022,2.5,394,354.0,3.6,70000
McLaren,570S,2021,3.8,562,443.0,3.1,200000
BMW,i8,2022,Hybrid,369,184.0,4.2,148500
Ferrari,Portofino,2022,3.9,612,561.0,3.3,245000
Audi,TT RS,2022,2.5,394,354.0,3.6,67800
McLaren,GT,2022,4,620,465.0,3.1,211300
Mercedes-Benz,SLS AMG,2015,6.2,622,468.0,3.5,222500
Chevrolet,Camaro SS,2022,6.2,455,455.0,4.0,43995
Porsche,911 Turbo S,2022,3.8,640,590.0,2.6,208000
BMW,M5 Competition,2022,4.4,617,553.0,3.1,103500
Aston Martin,Vantage,2022,4,503,505.0,3.5,152995
Ferrari,F8 Spider,2021,3.9,710,568.0,2.9,274280
Lexus,LC 500,2022,5,471,398.0,4.4,102550
Audi,RS6 Avant,2021,4,591,590.0,3.5,109000
BMW,M4,2022,3,473,406.0,3.8,71800
Mercedes-Benz,AMG GT R,2021,4,577,516.0,3.5,180000
Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642.0,3.0,190000
Lamborghini,Urus,2021,4,641,627.0,3.5,218000
Ferrari,Portofino M,2021,3.9,612,561.0,3.4,235000
Audi,TT RS,2022,2.5,394,354.0,3.6,67600
Mercedes-Benz,SLS AMG Black Series,2021,6.2,622,468.0,3.5,335000
Porsche,718 Boxster,2022,2,300,280.0,4.9,63000
Lamborghini,Aventador SVJ,2020,6.5,759,531.0,2.8,573966
Audi,TT RS Coupe,2022,2.5,394,354.0,3.5,68000
McLaren,GT,2020,4,612,465.0,3.1,210000
BMW,Z4 Roadster,2022,2,255,295.0,5.2,50000
Mercedes-Benz,SLS AMG,2015,6.2,622,468.0,3.6,200000
Chevrolet,Camaro SS Convertible,2022,6.2,455,455.0,4.0,49000
Nissan,370Z Coupe,2020,3.7,332,270.0,5.0,30090
Aston Martin,Vantage,2021,4,503,505.0,3.6,142086
Bentley,Continental GT,2022,6,626,664.0,3.3,225000
Bugatti,Chiron,2021,8,1479,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat,2022,6.2,717,656.0,3.5,68000
Jaguar,F-Type,2022,2,296,295.0,5.4,63700
Lotus,Evora GT,2021,3.5,416,317.0,3.8,98395
Porsche,Panamera Turbo S E-Hybrid,2021,4,689,642.0,3.0,190000
Lamborghini,Aventador SVJ,2021,6.5,759,531.0,2.8,517000
Mercedes-Benz,S63 AMG,2021,4,603,664.0,3.4,168000
Chevrolet,Camaro ZL1,2021,6.2,650,650.0,3.5,64500
Nissan,370Z Nismo,2021,3.7,350,276.0,4.7,46000
Porsche,718 Cayman GT4,2022,4,414,309.0,4.2,102000
Mercedes-AMG,C63 S Coupe,2021,4,503,516.0,3.7,77500
Aston Martin,Vantage,2021,4,503,505.0,3.5,147000
McLaren,570S,2021,3.8,562,443.0,3.1,193000
Dodge,Challenger SRT Hellcat,2021,6.2,717,656.0,3.5,64000
Mercedes-AMG,GT 63 S,2021,4,630,664.0,3.1,162000
Audi,RS 5,2022,2.9,444,443.0,3.5,76700
McLaren,570S Spider,2020,3.8,562,443.0,3.1,208800
BMW,M2 Competition,2022,3,405,406.0,4.2,58900
Mercedes-Benz,C 63 AMG,2022,4,469,479.0,3.9,69000
Ford,Mustang GT,2022,5,460,420.0,4.5,43000
Dodge,Challenger R/T,2021,5.7,372,400.0,5.1,35000
Aston Martin,Vantage,2021,4,503,505.0,3.6,151000
Alfa Romeo,4C Spider,2020,1.7,237,258.0,4.1,69000
Jaguar,F-Type,2022,2,296,295.0,5.4,62500
Tesla,Roadster,2022,Electric,1000,737.0,1.9,200000
Bugatti,Chiron Super Sport 300+,2021,8,1578,1180.0,2.4,5200000
Rimac,Nevera,2021,Electric,1914,1696.0,1.85,2400000
Chevrolet,Camaro ZL1,2022,6.2,650,650.0,3.5,63000
Aston Martin,Vantage,2021,4,503,505.0,3.5,142086
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443.0,3.8,83250
Audi,RS 7 Sportback,2021,4,591,590.0,3.5,114000
BMW,M4 Competition,2022,3,503,479.0,3.8,74700
Mercedes-Benz,C63 S AMG,2022,4,503,516.0,3.9,77600
Porsche,Panamera Turbo S,2022,4,630,604.0,2.9,181100
Lamborghini,Aventador S,2021,6.5,730,507.0,2.9,417826
Aston Martin,DBS Superleggera,2022,5.2,715,664.0,3.2,329100
Mercedes-Benz,AMG C43 Coupe,2021,3,385,384.0,4.5,59900
Chevrolet,Corvette Stingray,2021,6.2,490,465.0,2.9,59900
Porsche,Taycan,2022,2.0 (Electric),469,263.0,3.8,81250
Lamborghini,Aventador,2021,6.5,730,509.0,2.9,517000
Ferrari,Roma,2021,3.9,611,560.0,3.3,222620
Mercedes-Benz,C63 AMG,2021,4,469,479.0,3.9,77000
Chevrolet,Camaro SS,2021,6.2,455,455.0,4.1,43995
Ford,Mustang Mach 1,2021,5,480,420.0,4.1,51720
Nissan,370Z Nismo,2021,3.7,350,276.0,4.8,46610
Porsche,Panamera,2022,2.9,325,331.0,5.3,88550
Ferrari,SF90 Stradale,2021,4.0 (Hybrid),986,590.0,2.5,625000
Audi,RS6,2022,4,591,590.0,3.5,120000
BMW,M4,2022,3,503,479.0,3.8,74000
Mercedes-Benz,AMG A45,2021,2,382,354.0,4.0,50000
Chevrolet,Camaro ZL1,2021,6.2,650,650.0,3.5,63995
Bentley,Continental GT,2021,4,542,568.0,3.3,202500
Bugatti,Chiron,2022,8,1479,1180.0,2.4,2900000
Ferrari,F8 Tributo,2022,3.9,710,568.0,2.8,275000
McLaren,GT,2021,4,612,465.0,3.1,201500
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707.0,3.5,80190
Jaguar,F-Type,2021,3,380,339.0,4.4,62750
Lexus,LC 500,2021,5,471,398.0,4.4,92000
Lotus,Evija,2021,Electric,2000,1254.0,2.8,2800000
Rolls-Royce,Ghost,2021,6.8,563,627.0,4.6,332500
Porsche,Taycan,2021,2,402,254.0,5.1,81250
Aston Martin,DB11,2021,4,630,516.0,3.7,198995
Tesla,Roadster,2022,0,10000,7376.0,1.9,200000
Chevrolet,Camaro,2022,6.2,455,455.0,4.0,25000
Dodge,Charger,2021,6.2,797,707.0,3.3,72000
Jaguar,F-Type,2021,3,380,339.0,4.9,62750
Mercedes-Benz,SLS AMG,2021,6.2,622,468.0,3.6,254995
Nissan,370Z,2021,3.7,332,270.0,5.2,30000
Audi,RS 7,2021,4,591,590.0,3.4,114000
Bentley,Continental GT,2021,4,542,568.0,3.9,220000
Bugatti,Chiron,2021,8,1500,1180.0,2.4,3000000
Porsche,Cayman,2022,2,300,280.0,4.5,59900
Audi,RS 5,2022,2.9,444,443.0,3.5,75100
Dodge,Challenger SRT Hellcat,2021,6.2,717,656.0,3.5,60695
Ferrari,F8 Spider,2022,3.9,710,568.0,2.9,274390
Jaguar,F-Type,2021,3,296,295.0,5.4,64700
Lamborghini,Aventador,2021,6.5,759,531.0,2.9,517770
Lotus,Evora GT,2021,3.5,416,317.0,3.8,99990
Maserati,GranTurismo,2021,4.7,454,384.0,4.7,150800
Mercedes-Benz,AMG C 63,2021,4,469,479.0,3.8,67600
Nissan,370Z Nismo,2021,3.7,350,276.0,4.5,45790
Porsche,Panamera,2022,2.9,325,331.0,5.3,88800
Subaru,WRX STI,2021,2.5,310,290.0,5.2,38170
Lamborghini,Aventador,2021,6.5,729,509.0,2.9,393695
Audi,RS5 Coupe,2022,2.9,444,443.0,3.5,76350
McLaren,570S,2021,3.8,562,443.0,3.1,202000
Mercedes-Benz,SL,2022,3,429,384.0,4.4,96000
Nissan,370Z,2021,3.7,332,270.0,5.3,33000
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443.0,3.8,75250
Aston Martin,DB11,2022,4,630,516.0,3.7,201495
Bentley,Continental GT,2021,6,626,664.0,3.3,201000
Dodge,Challenger,2021,6.4,485,475.0,3.8,62000
Lotus,Evora GT,2021,3.5,416,317.0,3.8,99000
Maserati,GranTurismo,2021,4.7,454,384.0,4.7,150000
Aston Martin,Vantage,2022,4,503,505.0,3.5,149995
Dodge,Charger SRT Hellcat,2022,6.2,717,650.0,3.5,78595
Chevrolet,Camaro SS,2022,6.2,455,455.0,4.1,37500
Ford,Mustang GT,2022,5,460,420.0,4.0,38500
McLaren,570S,2021,3.8,562,443.0,3.1,208800
Mercedes-Benz,AMG C63,2022,4,469,479.0,3.8,71450
Nissan,370Z Nismo,2021,3.7,350,276.0,4.9,47820
Porsche,Panamera GTS,2021,4,473,457.0,3.9,134150
BMW,M4,2021,3,473,406.0,3.8,71800
Lamborghini,Aventador,2021,6.5,770,531.0,2.9,393695
McLaren,GT,2021,4,612,465.0,3.1,250000
Mercedes-Benz,AMG GT 4-Door Coupe,2021,4,630,664.0,3.1,171200
Aston Martin,DBS Superleggera,2022,5.2,715,663.0,3.4,321000
Lotus,Evora GT,2021,3.5,416,317.0,3.8,100500
McLaren,570S,2021,3.8,562,443.0,3.1,195000
Audi,RS7 Sportback,2022,4,591,590.0,3.5,114000
Mercedes-AMG,C63 S,2022,4,503,516.0,3.7,78100
Dodge,Charger Hellcat,2021,6.2,717,650.0,3.6,70000
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443.0,3.8,78450
Tesla,Model S Plaid,2022,Electric,1020,1050.0,1.9,141190
Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid,689,642.0,3.0,190000
Ford,Mustang Mach 1,2021,5,480,420.0,4.0,52915
Aston Martin,Vantage,2021,4,503,505.0,3.6,147000
Bugatti,Chiron,2022,8,1500,1180.0,2.5,3900000
Pagani,Huayra,2021,6,764,740.0,2.8,2600000
Lotus,Evija,2022,Electric,1973,1254.0,2.5,2000000
Pininfarina,Battista,2021,Electric,1872,1696.0,1.9,2500000
Maserati,MC20,2021,3,621,538.0,2.9,210000
Porsche,Cayman,2021,2,300,280.0,5.1,59900
McLaren,GT,2022,4,612,465.0,3.1,210000
BMW,M2,2021,3,405,406.0,4.0,58900
Mercedes-Benz,SLS AMG,2021,6.3,622,468.0,3.6,254500
Ford,Mustang,2021,2.3,310,350.0,5.3,27205
Nissan,370Z,2021,3.7,332,270.0,5.1,30090
Koenigsegg,Jesko,2022,5,1280,1106.0,2.5,3000000
Lotus,Evija,2021,Electric Motor,1972,1254.0,2.0,2000000
Pagani,Huayra,2021,6,764,738.0,3.0,2600000
Rimac,Nevera,2021,Electric Motor,1888,1696.0,1.85,2400000
